type,completed_at,session_number,duration_minutes,task
Long Break,2025-03-13 04:59:00,4,13,
Work,2025-03-13 06:47:00,5,42,Design Slides
Short Break,2025-03-13 02:02:00,6,6,
Long Break,2025-03-13 13:41:00,7,20,
Long Break,2025-03-13 13:50:00,8,14,
Long Break,2025-03-13 07:15:00,9,18,
Work,2025-03-13 07:21:00,10,37,Write Report
Short Break,2025-03-12 21:45:00,1,5,
Long Break,2025-03-12 17:58:00,2,19,
Short Break,2025-03-12 06:09:00,3,5,
Work,2025-03-12 02:25:00,4,36,Read Docs
Short Break,2025-03-12 05:51:00,5,6,
Work,2025-03-12 01:35:00,6,42,Code Review
Long Break,2025-03-11 00:16:00,1,11,
Work,2025-03-11 23:58:00,2,43,Database Cleanup
Long Break,2025-03-11 00:27:00,3,19,
Short Break,2025-03-11 03:07:00,4,4,
Short Break,2025-03-11 16:10:00,5,4,
Work,2025-03-11 18:19:00,6,37,Email Review
Work,2025-03-10 08:57:00,1,26,Debug UI
Work,2025-03-10 20:18:00,2,39,Client Call
Short Break,2025-03-10 10:50:00,3,4,
Short Break,2025-03-10 04:00:00,4,4,
Work,2025-03-10 08:11:00,5,30,Test Features
Short Break,2025-03-10 06:03:00,6,7,
Work,2025-03-10 09:59:00,7,31,Test Features
Short Break,2025-03-10 09:02:00,8,6,
Short Break,2025-03-10 10:15:00,9,6,
Work,2025-03-10 21:56:00,10,27,Database Cleanup
Work,2025-03-09 14:29:00,1,39,Client Call
Work,2025-03-09 02:37:00,2,38,Write Report
Work,2025-03-09 23:36:00,3,44,Test Features
Work,2025-03-09 03:15:00,4,32,Design Slides
Short Break,2025-03-09 18:50:00,5,7,
Work,2025-03-09 01:11:00,6,45,Code Review
Short Break,2025-03-09 23:38:00,7,7,
Work,2025-03-09 04:26:00,8,25,Client Call
Short Break,2025-03-08 09:06:00,1,4,
Work,2025-03-08 02:35:00,2,45,Client Call
Work,2025-03-08 00:14:00,3,35,Brainstorm Ideas
Short Break,2025-03-08 15:30:00,4,6,
Work,2025-03-08 14:30:00,5,33,Client Call
Work,2025-03-08 12:21:00,6,35,Read Docs
Work,2025-03-07 20:44:00,1,34,Refactor Code
Work,2025-03-07 22:23:00,2,28,Write Report
Short Break,2025-03-07 00:21:00,3,7,
Work,2025-03-07 10:14:00,4,40,Write Report
Short Break,2025-03-07 05:26:00,5,4,
Work,2025-03-07 08:41:00,6,26,Brainstorm Ideas
Work,2025-03-07 15:38:00,7,45,Design Slides
Long Break,2025-03-07 23:53:00,8,11,
Long Break,2025-03-06 16:41:00,1,11,
Short Break,2025-03-06 21:39:00,2,4,
Long Break,2025-03-06 16:38:00,3,17,
Work,2025-03-06 10:11:00,4,41,Database Cleanup
Work,2025-03-06 01:10:00,5,25,Email Review
Short Break,2025-03-06 07:18:00,6,4,
Short Break,2025-03-06 19:59:00,7,5,
Long Break,2025-03-06 10:37:00,8,11,
Short Break,2025-03-06 02:37:00,9,4,
Long Break,2025-03-06 02:37:00,10,14,
Work,2025-03-05 12:35:00,1,27,Client Call
Work,2025-03-05 15:11:00,2,27,Read Docs
Short Break,2025-03-05 07:25:00,3,4,
Work,2025-03-05 04:54:00,4,38,Read Docs
Work,2025-03-05 20:34:00,5,35,Design Slides
Short Break,2025-03-05 07:21:00,6,5,
Work,2025-03-05 19:26:00,7,40,Debug UI
Work,2025-03-05 17:42:00,8,45,Debug UI
Short Break,2025-03-04 14:13:00,1,4,
Work,2025-03-04 13:53:00,2,32,Client Call
Short Break,2025-03-04 11:59:00,3,4,
Long Break,2025-03-04 12:17:00,4,15,
Short Break,2025-03-04 23:01:00,5,5,
Work,2025-03-04 01:52:00,6,41,Design Slides
Work,2025-03-03 16:10:00,1,44,Email Review
Short Break,2025-03-03 10:24:00,2,7,
Work,2025-03-03 23:28:00,3,38,Email Review
Work,2025-03-03 03:12:00,4,40,Read Docs
Work,2025-03-03 11:07:00,5,40,Read Docs
Work,2025-03-02 05:23:00,1,45,Design Slides
Work,2025-03-02 20:47:00,2,39,Database Cleanup
Work,2025-03-02 23:56:00,3,44,Read Docs
Short Break,2025-03-02 16:30:00,4,5,
Long Break,2025-03-02 00:04:00,5,11,
Long Break,2025-03-01 15:01:00,1,10,
Long Break,2025-03-01 10:37:00,2,16,
Work,2025-03-01 08:37:00,3,33,Test Features
Work,2025-03-01 21:02:00,4,34,Refactor Code
Short Break,2025-03-01 21:21:00,5,6,
Long Break,2025-03-01 07:10:00,6,19,
Work,2025-03-01 20:41:00,7,27,Brainstorm Ideas
Work,2025-03-01 08:33:00,8,40,Refactor Code
Work,2025-03-01 02:57:00,9,37,Database Cleanup
Short Break,2025-03-01 05:52:00,10,5,
Work,2025-02-28 18:51:00,1,27,Debug UI
Work,2025-02-28 23:23:00,2,44,Read Docs
Long Break,2025-02-28 22:44:00,3,20,
Long Break,2025-02-28 04:39:00,4,16,
Work,2025-02-28 19:25:00,5,26,Test Features
Short Break,2025-02-28 06:00:00,6,6,
Work,2025-02-28 12:46:00,7,42,Design Slides
Short Break,2025-02-28 05:03:00,8,5,
Work,2025-02-27 20:09:00,1,32,Write Report
Work,2025-02-27 22:17:00,2,26,Read Docs
Work,2025-02-27 08:17:00,3,28,Code Review
Short Break,2025-02-27 08:48:00,4,4,
Short Break,2025-02-27 19:26:00,5,7,
Work,2025-02-27 12:58:00,6,34,Refactor Code
Work,2025-02-27 13:29:00,7,27,Read Docs
Work,2025-02-27 17:58:00,8,27,Test Features
Short Break,2025-02-27 20:53:00,9,5,
Short Break,2025-02-26 23:06:00,1,5,
Short Break,2025-02-26 10:15:00,2,4,
Work,2025-02-26 02:37:00,3,26,Brainstorm Ideas
Short Break,2025-02-26 04:00:00,4,7,
Work,2025-02-26 17:51:00,5,27,Write Report
Short Break,2025-02-26 15:28:00,6,4,
Work,2025-02-26 01:01:00,7,43,Refactor Code
Short Break,2025-02-25 02:18:00,1,7,
Work,2025-02-25 14:11:00,2,32,Email Review
Long Break,2025-02-25 21:11:00,3,18,
Short Break,2025-02-25 09:49:00,4,7,
Work,2025-02-25 02:26:00,5,43,Database Cleanup
Work,2025-02-25 13:09:00,6,36,Design Slides
Work,2025-02-25 00:43:00,7,39,Code Review
Work,2025-02-25 20:02:00,8,40,Database Cleanup
Work,2025-02-25 16:59:00,9,31,Test Features
Work,2025-02-24 00:29:00,1,26,Code Review
Short Break,2025-02-24 23:06:00,2,7,
Long Break,2025-02-24 08:28:00,3,11,
Short Break,2025-02-24 01:49:00,4,7,
Work,2025-02-24 22:03:00,5,37,Read Docs
Short Break,2025-02-24 03:58:00,6,6,
Work,2025-02-23 15:13:00,1,42,Client Call
Short Break,2025-02-23 05:08:00,2,5,
Work,2025-02-23 12:33:00,3,40,Database Cleanup
Work,2025-02-23 23:22:00,4,30,Design Slides
Work,2025-02-23 18:28:00,5,25,Email Review
Work,2025-02-23 16:05:00,6,32,Database Cleanup
Short Break,2025-02-23 11:23:00,7,6,
Work,2025-02-22 14:16:00,1,33,Brainstorm Ideas
Work,2025-02-22 13:47:00,2,41,Test Features
Work,2025-02-22 20:53:00,3,26,Debug UI
Work,2025-02-22 22:51:00,4,27,Client Call
Long Break,2025-02-22 23:16:00,5,18,
Work,2025-02-21 07:55:00,1,42,Brainstorm Ideas
Work,2025-02-21 10:16:00,2,43,Email Review
Work,2025-02-21 14:47:00,3,25,Code Review
Short Break,2025-02-21 08:47:00,4,4,
Short Break,2025-02-21 03:37:00,5,7,
Long Break,2025-02-21 07:34:00,6,17,
Short Break,2025-02-21 17:05:00,7,7,
Work,2025-02-21 23:08:00,8,26,Read Docs
Work,2025-02-20 19:15:00,1,29,Refactor Code
Long Break,2025-02-20 01:20:00,2,19,
Work,2025-02-20 18:15:00,3,26,Client Call
Short Break,2025-02-20 16:27:00,4,6,
Work,2025-02-20 16:58:00,5,37,Test Features
Short Break,2025-02-20 01:43:00,6,6,
Work,2025-02-20 20:07:00,7,27,Client Call
Work,2025-02-20 23:15:00,8,29,Design Slides
Short Break,2025-02-20 23:47:00,9,5,
Long Break,2025-02-20 11:04:00,10,15,
Work,2025-02-19 11:53:00,1,37,Design Slides
Work,2025-02-19 15:41:00,2,37,Code Review
Short Break,2025-02-19 19:30:00,3,7,
Short Break,2025-02-19 06:22:00,4,7,
Work,2025-02-19 09:38:00,5,37,Test Features
Short Break,2025-02-19 23:34:00,6,4,
Work,2025-02-18 11:38:00,1,39,Design Slides
Work,2025-02-18 10:17:00,2,31,Code Review
Long Break,2025-02-18 07:33:00,3,12,
Work,2025-02-18 12:54:00,4,43,Database Cleanup
Work,2025-02-18 05:53:00,5,32,Client Call
Work,2025-02-18 08:30:00,6,43,Client Call
Work,2025-02-18 12:21:00,7,38,Debug UI
Work,2025-02-18 23:45:00,8,38,Debug UI
Work,2025-02-18 14:45:00,9,27,Refactor Code
Work,2025-02-17 07:24:00,1,38,Read Docs
Work,2025-02-17 10:34:00,2,37,Brainstorm Ideas
Work,2025-02-17 10:59:00,3,33,Debug UI
Work,2025-02-17 13:41:00,4,31,Test Features
Short Break,2025-02-17 05:31:00,5,5,
Short Break,2025-02-17 14:53:00,6,7,
Short Break,2025-02-17 03:19:00,7,7,
Long Break,2025-02-16 19:28:00,1,18,
Short Break,2025-02-16 10:52:00,2,5,
Work,2025-02-16 02:36:00,3,45,Read Docs
Work,2025-02-16 13:57:00,4,25,Test Features
Work,2025-02-16 10:25:00,5,40,Debug UI
Long Break,2025-02-16 03:29:00,6,11,
Short Break,2025-02-15 19:28:00,1,5,
Short Break,2025-02-15 12:32:00,2,5,
Work,2025-02-15 18:40:00,3,29,Refactor Code
Work,2025-02-15 08:39:00,4,31,Write Report
Short Break,2025-02-15 16:53:00,5,7,
Work,2025-02-15 19:00:00,6,29,Test Features
Short Break,2025-02-15 04:01:00,7,7,
Work,2025-02-14 13:50:00,1,36,Code Review
Short Break,2025-02-14 11:47:00,2,5,
Work,2025-02-14 02:44:00,3,32,Refactor Code
Work,2025-02-14 03:37:00,4,30,Code Review
Work,2025-02-14 04:36:00,5,45,Write Report
Work,2025-02-14 07:35:00,6,28,Write Report
Work,2025-02-14 23:27:00,7,42,Database Cleanup
Work,2025-02-14 15:11:00,8,26,Test Features
Work,2025-02-14 05:34:00,9,29,Database Cleanup
Short Break,2025-02-13 04:34:00,1,7,
Work,2025-02-13 11:05:00,2,45,Brainstorm Ideas
Work,2025-02-13 08:08:00,3,34,Read Docs
Work,2025-02-13 06:58:00,4,32,Debug UI
Short Break,2025-02-13 04:30:00,5,5,
Work,2025-02-13 22:44:00,6,42,Test Features
Work,2025-02-13 09:08:00,7,44,Code Review
Work,2025-02-13 18:46:00,8,33,Refactor Code
Work,2025-02-13 03:00:00,9,27,Read Docs
Work,2025-02-12 05:26:00,1,42,Email Review
Work,2025-02-12 16:10:00,2,43,Brainstorm Ideas
Work,2025-02-12 09:55:00,3,33,Design Slides
Work,2025-02-12 07:43:00,4,38,Debug UI
Work,2025-02-12 06:53:00,5,27,Write Report
Work,2025-02-12 14:11:00,6,35,Design Slides
Work,2025-02-12 23:21:00,7,35,Write Report
Short Break,2025-02-12 21:49:00,8,7,
Work,2025-02-12 10:32:00,9,30,Client Call
Long Break,2025-02-12 22:00:00,10,14,
Work,2025-02-11 07:00:00,1,26,Write Report
Long Break,2025-02-11 14:43:00,2,13,
Work,2025-02-11 04:15:00,3,37,Write Report
Work,2025-02-11 18:11:00,4,39,Database Cleanup
Work,2025-02-11 19:41:00,5,26,Refactor Code
Short Break,2025-02-10 17:13:00,1,7,
Work,2025-02-10 12:54:00,2,26,Write Report
Work,2025-02-10 04:37:00,3,27,Client Call
Work,2025-02-10 06:09:00,4,37,Read Docs
Work,2025-02-10 20:21:00,5,28,Email Review
Work,2025-02-10 21:02:00,6,35,Client Call
Work,2025-02-10 17:31:00,7,45,Email Review
Short Break,2025-02-10 23:31:00,8,4,
Work,2025-02-09 23:40:00,1,45,Database Cleanup
Work,2025-02-09 07:37:00,2,45,Design Slides
Work,2025-02-09 12:54:00,3,34,Email Review
Work,2025-02-09 14:12:00,4,44,Debug UI
Short Break,2025-02-09 18:27:00,5,7,
Short Break,2025-02-09 13:48:00,6,5,
Short Break,2025-02-09 17:21:00,7,4,
Work,2025-02-08 02:11:00,1,32,Database Cleanup
Work,2025-02-08 01:32:00,2,33,Write Report
Work,2025-02-08 07:58:00,3,43,Debug UI
Work,2025-02-08 11:40:00,4,42,Write Report
Work,2025-02-08 21:22:00,5,43,Database Cleanup
Short Break,2025-02-08 07:14:00,6,4,
Work,2025-02-08 07:55:00,7,33,Brainstorm Ideas
Short Break,2025-02-07 22:27:00,1,6,
Work,2025-02-07 09:53:00,2,25,Client Call
Short Break,2025-02-07 12:09:00,3,6,
Work,2025-02-07 17:13:00,4,27,Refactor Code
Short Break,2025-02-07 16:26:00,5,4,
Short Break,2025-02-07 08:24:00,6,6,
Work,2025-02-07 16:49:00,7,25,Design Slides
Short Break,2025-02-07 03:04:00,8,4,
Work,2025-02-07 18:44:00,9,42,Refactor Code
Work,2025-02-06 16:01:00,1,41,Test Features
Work,2025-02-06 07:35:00,2,25,Database Cleanup
Work,2025-02-06 03:44:00,3,45,Read Docs
Work,2025-02-06 00:40:00,4,28,Database Cleanup
Short Break,2025-02-06 09:42:00,5,4,
Work,2025-02-06 12:20:00,6,38,Refactor Code
Work,2025-02-06 18:03:00,7,29,Design Slides
Short Break,2025-02-06 08:32:00,8,5,
Work,2025-02-05 10:30:00,1,26,Client Call
Work,2025-02-05 15:03:00,2,43,Database Cleanup
Work,2025-02-05 14:20:00,3,32,Database Cleanup
Work,2025-02-05 06:45:00,4,41,Code Review
Work,2025-02-05 03:56:00,5,45,Debug UI
Work,2025-02-05 08:04:00,6,42,Read Docs
Work,2025-02-05 12:19:00,7,38,Code Review
Work,2025-02-05 11:37:00,8,32,Debug UI
Work,2025-02-04 18:19:00,1,26,Write Report
Work,2025-02-04 09:27:00,2,39,Test Features
Long Break,2025-02-04 21:40:00,3,17,
Work,2025-02-04 13:17:00,4,31,Design Slides
Short Break,2025-02-04 06:21:00,5,4,
Short Break,2025-02-04 13:25:00,6,5,
Work,2025-02-04 18:59:00,7,27,Client Call
Short Break,2025-02-04 19:36:00,8,6,
Work,2025-02-04 04:42:00,9,39,Read Docs
Work,2025-02-03 00:08:00,1,45,Read Docs
Short Break,2025-02-03 06:58:00,2,5,
Work,2025-02-03 02:00:00,3,29,Test Features
Short Break,2025-02-03 17:09:00,4,5,
Work,2025-02-03 06:18:00,5,45,Write Report
Work,2025-02-03 01:27:00,6,33,Client Call
Long Break,2025-02-02 22:09:00,1,11,
Work,2025-02-02 09:26:00,2,30,Refactor Code
Short Break,2025-02-02 15:49:00,3,6,
Short Break,2025-02-02 07:47:00,4,4,
Work,2025-02-02 08:30:00,5,25,Brainstorm Ideas
Work,2025-02-02 08:00:00,6,41,Database Cleanup
Short Break,2025-02-02 00:59:00,7,5,
Work,2025-02-02 11:31:00,8,25,Test Features
Work,2025-02-02 11:48:00,9,41,Test Features
Work,2025-02-01 22:28:00,1,29,Read Docs
Short Break,2025-02-01 00:48:00,2,5,
Work,2025-02-01 21:44:00,3,28,Test Features
Work,2025-02-01 05:05:00,4,29,Brainstorm Ideas
Short Break,2025-02-01 18:43:00,5,4,
Work,2025-02-01 06:47:00,6,35,Read Docs
Work,2025-02-01 22:45:00,7,27,Debug UI
Work,2025-02-01 01:16:00,8,40,Design Slides
Work,2025-02-01 05:47:00,9,41,Write Report
Work,2025-02-01 13:40:00,10,37,Design Slides
Short Break,2025-01-31 12:19:00,1,5,
Work,2025-01-31 15:09:00,2,33,Write Report
Short Break,2025-01-31 02:31:00,3,5,
Long Break,2025-01-31 21:20:00,4,10,
Work,2025-01-31 09:57:00,5,28,Client Call
Short Break,2025-01-30 23:47:00,1,6,
Work,2025-01-30 14:19:00,2,33,Design Slides
Work,2025-01-30 13:09:00,3,29,Brainstorm Ideas
Work,2025-01-30 22:41:00,4,26,Debug UI
Work,2025-01-30 05:57:00,5,28,Design Slides
Work,2025-01-30 08:49:00,6,34,Read Docs
Short Break,2025-01-30 23:12:00,7,5,
Short Break,2025-01-29 11:21:00,1,5,
Work,2025-01-29 13:39:00,2,30,Brainstorm Ideas
Short Break,2025-01-29 03:45:00,3,6,
Work,2025-01-29 18:01:00,4,33,Read Docs
Short Break,2025-01-29 09:13:00,5,4,
Short Break,2025-01-29 01:03:00,6,6,
Work,2025-01-29 18:01:00,7,39,Email Review
Work,2025-01-29 20:19:00,8,28,Brainstorm Ideas
Work,2025-01-28 18:48:00,1,26,Test Features
Work,2025-01-28 22:55:00,2,45,Refactor Code
Long Break,2025-01-28 11:43:00,3,16,
Work,2025-01-28 18:12:00,4,45,Email Review
Short Break,2025-01-28 14:39:00,5,6,
Short Break,2025-01-28 22:25:00,6,4,
Work,2025-01-27 08:09:00,1,25,Design Slides
Work,2025-01-27 16:47:00,2,35,Debug UI
Short Break,2025-01-27 02:30:00,3,6,
Work,2025-01-27 07:51:00,4,42,Read Docs
Work,2025-01-27 10:59:00,5,29,Code Review
Work,2025-01-27 02:38:00,6,36,Debug UI
Long Break,2025-01-27 17:07:00,7,10,
Short Break,2025-01-27 12:53:00,8,6,
Short Break,2025-01-26 07:38:00,1,7,
Work,2025-01-26 20:30:00,2,38,Email Review
Work,2025-01-26 07:26:00,3,45,Database Cleanup
Short Break,2025-01-26 19:51:00,4,5,
Work,2025-01-26 16:06:00,5,39,Write Report
Short Break,2025-01-26 02:02:00,6,7,
Short Break,2025-01-26 02:14:00,7,4,
Work,2025-01-26 02:33:00,8,27,Read Docs
Short Break,2025-01-25 01:52:00,1,7,
Work,2025-01-25 19:37:00,2,27,Database Cleanup
Work,2025-01-25 08:35:00,3,37,Database Cleanup
Long Break,2025-01-25 22:53:00,4,12,
Short Break,2025-01-25 23:19:00,5,4,
Work,2025-01-25 04:28:00,6,33,Code Review
Work,2025-01-25 08:12:00,7,38,Debug UI
Short Break,2025-01-25 16:14:00,8,7,
Work,2025-01-24 16:20:00,1,43,Brainstorm Ideas
Work,2025-01-24 08:21:00,2,31,Write Report
Work,2025-01-24 23:52:00,3,45,Design Slides
Work,2025-01-24 16:42:00,4,38,Email Review
Short Break,2025-01-24 07:07:00,5,5,
Short Break,2025-01-24 14:59:00,6,4,
Work,2025-01-24 13:55:00,7,33,Refactor Code
Work,2025-01-24 08:06:00,8,40,Write Report
Work,2025-01-24 06:24:00,9,29,Client Call
Work,2025-01-23 20:31:00,1,31,Brainstorm Ideas
Work,2025-01-23 04:14:00,2,35,Code Review
Work,2025-01-23 17:34:00,3,40,Write Report
Short Break,2025-01-23 14:00:00,4,4,
Short Break,2025-01-23 21:45:00,5,5,
Short Break,2025-01-23 04:40:00,6,7,
Work,2025-01-23 04:33:00,7,42,Test Features
Work,2025-01-23 16:00:00,8,43,Brainstorm Ideas
Long Break,2025-01-22 15:19:00,1,10,
Work,2025-01-22 00:18:00,2,31,Test Features
Work,2025-01-22 14:34:00,3,31,Email Review
Short Break,2025-01-22 04:06:00,4,5,
Work,2025-01-22 22:35:00,5,45,Brainstorm Ideas
Work,2025-01-22 11:55:00,6,30,Refactor Code
Work,2025-01-22 13:34:00,7,27,Refactor Code
Long Break,2025-01-22 19:21:00,8,12,
Short Break,2025-01-22 11:34:00,9,7,
Short Break,2025-01-22 21:36:00,10,7,
Work,2025-01-21 07:27:00,1,35,Debug UI
Work,2025-01-21 15:36:00,2,44,Design Slides
Work,2025-01-21 09:46:00,3,39,Read Docs
Work,2025-01-21 01:01:00,4,38,Client Call
Work,2025-01-21 00:40:00,5,30,Client Call
Work,2025-01-21 12:27:00,6,35,Write Report
Short Break,2025-01-21 13:25:00,7,6,
Work,2025-01-21 17:05:00,8,45,Design Slides
Short Break,2025-01-21 04:21:00,9,4,
Work,2025-01-21 20:24:00,10,33,Test Features
Work,2025-01-20 01:48:00,1,28,Brainstorm Ideas
Work,2025-01-20 07:08:00,2,39,Email Review
Work,2025-01-20 20:29:00,3,40,Client Call
Short Break,2025-01-20 21:53:00,4,7,
Short Break,2025-01-20 14:24:00,5,5,
Long Break,2025-01-19 10:57:00,1,12,
Work,2025-01-19 03:03:00,2,33,Database Cleanup
Work,2025-01-19 15:01:00,3,39,Client Call
Short Break,2025-01-19 13:27:00,4,5,
Work,2025-01-19 10:35:00,5,40,Read Docs
Work,2025-01-19 20:34:00,6,29,Email Review
Work,2025-01-19 09:22:00,7,40,Read Docs
Short Break,2025-01-19 10:04:00,8,5,
Short Break,2025-01-19 16:44:00,9,4,
Short Break,2025-01-19 06:54:00,10,4,
Short Break,2025-01-18 23:20:00,1,7,
Long Break,2025-01-18 10:04:00,2,12,
Short Break,2025-01-18 02:11:00,3,7,
Work,2025-01-18 04:57:00,4,33,Test Features
Short Break,2025-01-18 12:29:00,5,4,
Work,2025-01-18 11:30:00,6,33,Brainstorm Ideas
Work,2025-01-18 18:25:00,7,42,Client Call
Work,2025-01-18 10:36:00,8,42,Email Review
Short Break,2025-01-18 02:29:00,9,5,
Long Break,2025-01-18 10:36:00,10,10,
Short Break,2025-05-27 21:30:00,1,6,
Short Break,2025-05-27 15:45:00,2,7,
Short Break,2025-05-27 09:39:00,3,4,
Work,2025-05-27 05:44:00,4,43,Email Review
Short Break,2025-05-27 00:12:00,5,5,
Short Break,2025-05-26 21:37:00,1,6,
Work,2025-05-26 03:33:00,2,45,Refactor Code
Work,2025-05-26 23:20:00,3,45,Read Docs
Work,2025-05-26 07:04:00,4,34,Brainstorm Ideas
Short Break,2025-05-26 19:42:00,5,4,
